name,brand,categories,Categorie_DEF,medium.price,colors,Colour1,material,reviews
Rare Authentic Prada Sport Active Shield Black Sunglasses Sps 54p 1bo1a1 Ps 54ps,Prada Sport,"Women's Sunglasses,Clothing, Shoes, Accessories,Men's Sunglasses,54Ps,Prada Sport",Prada Sport,173.68,"Frame color Black,Lens color Grey",Black,,5.0
New Balance Mt10 Men  Round Toe Canvas Black Trail Running,New Balance,"Clothing,Shoes,Men's Shoes,All Men's Shoes,Sneakers & Athletic Shoes","Sneakers & Athletic Shoes, Athletic",114.95,BlackLead,Black,Canvas,5.0
New Balance Mt10 Men  Round Toe Canvas Black Trail Running,New Balance,"Clothing,Shoes,Men's Shoes,All Men's Shoes,Sneakers & Athletic Shoes","Sneakers & Athletic Shoes, Athletic",112.99,BlackLead,Black,Canvas,5.0
New Balance Mt10 Men  Round Toe Canvas Black Trail Running,New Balance,"Clothing,Shoes,Men's Shoes,All Men's Shoes,Sneakers & Athletic Shoes","Sneakers & Athletic Shoes, Athletic",160.0,BlackLead,Black,Canvas,5.0
Dr. Martens Men 8053 5 Eye Oxfords,Dr. Martens,"Oxfords,All Men's Shoes,Shoes,Men's Shoes,Clothing",Oxfords,114.95,"Tan Harvest,Tan,Gaucho,Black Nappa,Brown",Black Nappa,Leather,5.0
Dr. Martens Men 8053 5 Eye Oxfords,Dr. Martens,"Oxfords,All Men's Shoes,Shoes,Men's Shoes,Clothing",Oxfords,119.99,"Tan Harvest,Tan,Gaucho,Black Nappa,Brown",Black Nappa,Leather,5.0
Dr. Martens Men 8053 5 Eye Oxfords,Dr. Martens,"Oxfords,All Men's Shoes,Shoes,Men's Shoes,Clothing",Oxfords,114.95,"Tan Harvest,Tan,Gaucho,Black Nappa,Brown",Black Nappa,Leather,5.0
Dr. Martens Men 8053 5 Eye Oxfords,Dr. Martens,"Oxfords,All Men's Shoes,Shoes,Men's Shoes,Clothing",Oxfords,119.99,"Tan Harvest,Tan,Gaucho,Black Nappa,Brown",Black Nappa,Leather,5.0
Rare Authentic Prada Sport Active Shield Black Sunglasses Sps 54p 1bo1a1 Ps 54ps,Prada Sport,"Women's Sunglasses,Clothing, Shoes, Accessories,Men's Sunglasses,54Ps,Prada Sport",Prada Sport,170.53,"Frame color Black,Lens color Grey",Black,,5.0
Rare Authentic Prada Sport Active Shield Black Sunglasses Sps 54p 1bo1a1 Ps 54ps,Prada Sport,"Women's Sunglasses,Clothing, Shoes, Accessories,Men's Sunglasses,54Ps,Prada Sport",Prada Sport,175.25,"Frame color Black,Lens color Grey",Black,,5.0
