name,brand,categories,Categorie_DEF,medium_price,colors,Colour1,material,reviews,average_reviews
Dr. Martens Women's Mila Steel Toe 6 Eye Work Oxfords,Dr. Martens,"Oxfords,Women,Shoes,Lace-Ups",Oxfords,119.95,Black Industrial Bear,,,"[{""date"":""2016-03-29T00:00:00Z"",""dateAdded"":""2015-12-14T06:48:07Z"",""dateSeen"":[""2016-04-29T00:00:00Z""],""sourceURLs"":[""http://www.amazon.com/Dr-Martens-Womens-Black-Oxfords/dp/B00TJ46VNS""],""text"":""Terrible shoes!!! I don't know what has happened to doc martins but they are not at all how they use to be!!!! They are not comfortable at all!! And I use to wear nothing but docs but they have changed them somehow and they are awful now!!"",""title"":""Terrible shoes!"",""username"":""Jennifer Tanis""}]",
Dr. Martens Women's Mila Steel Toe 6 Eye Work Oxfords,Dr. Martens,"Oxfords,Women,Shoes,Lace-Ups",Oxfords,102.99,Black Industrial Bear,,,"[{""date"":""2016-03-29T00:00:00Z"",""dateAdded"":""2015-12-14T06:48:07Z"",""dateSeen"":[""2016-04-29T00:00:00Z""],""sourceURLs"":[""http://www.amazon.com/Dr-Martens-Womens-Black-Oxfords/dp/B00TJ46VNS""],""text"":""Terrible shoes!!! I don't know what has happened to doc martins but they are not at all how they use to be!!!! They are not comfortable at all!! And I use to wear nothing but docs but they have changed them somehow and they are awful now!!"",""title"":""Terrible shoes!"",""username"":""Jennifer Tanis""}]",
Dr. Martens Women's Mila Steel Toe 6 Eye Work Oxfords,Dr. Martens,"Oxfords,Women,Shoes,Lace-Ups",Oxfords,100.99,Black Industrial Bear,,,"[{""date"":""2016-03-29T00:00:00Z"",""dateAdded"":""2015-12-14T06:48:07Z"",""dateSeen"":[""2016-04-29T00:00:00Z""],""sourceURLs"":[""http://www.amazon.com/Dr-Martens-Womens-Black-Oxfords/dp/B00TJ46VNS""],""text"":""Terrible shoes!!! I don't know what has happened to doc martins but they are not at all how they use to be!!!! They are not comfortable at all!! And I use to wear nothing but docs but they have changed them somehow and they are awful now!!"",""title"":""Terrible shoes!"",""username"":""Jennifer Tanis""}]",
New Balance Ww847  D Round Toe Leather  Walking Shoe,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes,Walking Shoes",Walking Shoes,180.0,"Black,White,White Synthetic,Mesh",White,Leather,"[{""date"":""2015-02-18T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I wear these shoes almost every day. They make my feet smile! I have a walking program, and these shoes make all the difference in comfort, allowing me to go farther without tiring. They are supportive, with plenty of cushion. It's like walking on puffy white clouds. Can't say enough good things about them."",""title"":""BUY A PAIR NOW!! You won't regret it!"",""username"":""Cricket""},{""date"":""2015-06-04T05:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-07-18T05:00:00Z""],""numHelpful"":4,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""finally found a shoe that fits my messed up feet"",""title"":""it fits"",""username"":""Marthann""},{""date"":""2014-12-05T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I think the reason the shoe felt a bit narrower was that there is more cushioning on the sides and bottom. It feels like a dream to wear."",""title"":""Soft as a cloud"",""username"":""laurie""},{""date"":""2015-04-09T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I've been wearing New Balance shoes built on the SL2 last for over 30 years for my flat splayed feet. This new model is light and comfortable. I bought them for my trip to London: they and I have held up well for hours of walking in museums and parks. Just wish NB would make hiking shoes on the SL-2 last. That might look a little less orthopedic and more adventuresome. Waterproof options would be nice too."",""title"":""Good walking shoe on the SL 2 last"",""username"":""PSB""},{""date"":""2015-01-19T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":7,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I wear the shoes for walking every day. (I walk wherever and whenever possible.) I am proud to own such a comfortable and stylish pair of shoes."",""title"":""pleased as punch"",""username"":""thebestmary""}]",4.4
New Balance Ww847  D Round Toe Leather  Walking Shoe,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes,Walking Shoes",Walking Shoes,143.99,"Black,White,White Synthetic,Mesh",White,Leather,"[{""date"":""2015-02-18T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I wear these shoes almost every day. They make my feet smile! I have a walking program, and these shoes make all the difference in comfort, allowing me to go farther without tiring. They are supportive, with plenty of cushion. It's like walking on puffy white clouds. Can't say enough good things about them."",""title"":""BUY A PAIR NOW!! You won't regret it!"",""username"":""Cricket""},{""date"":""2015-06-04T05:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-07-18T05:00:00Z""],""numHelpful"":4,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""finally found a shoe that fits my messed up feet"",""title"":""it fits"",""username"":""Marthann""},{""date"":""2014-12-05T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I think the reason the shoe felt a bit narrower was that there is more cushioning on the sides and bottom. It feels like a dream to wear."",""title"":""Soft as a cloud"",""username"":""laurie""},{""date"":""2015-04-09T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I've been wearing New Balance shoes built on the SL2 last for over 30 years for my flat splayed feet. This new model is light and comfortable. I bought them for my trip to London: they and I have held up well for hours of walking in museums and parks. Just wish NB would make hiking shoes on the SL-2 last. That might look a little less orthopedic and more adventuresome. Waterproof options would be nice too."",""title"":""Good walking shoe on the SL 2 last"",""username"":""PSB""},{""date"":""2015-01-19T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":7,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I wear the shoes for walking every day. (I walk wherever and whenever possible.) I am proud to own such a comfortable and stylish pair of shoes."",""title"":""pleased as punch"",""username"":""thebestmary""}]",4.4
New Balance Ww847  D Round Toe Leather  Walking Shoe,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes,Walking Shoes",Walking Shoes,141.98,"Black,White,White Synthetic,Mesh",White,Leather,"[{""date"":""2015-02-18T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I wear these shoes almost every day. They make my feet smile! I have a walking program, and these shoes make all the difference in comfort, allowing me to go farther without tiring. They are supportive, with plenty of cushion. It's like walking on puffy white clouds. Can't say enough good things about them."",""title"":""BUY A PAIR NOW!! You won't regret it!"",""username"":""Cricket""},{""date"":""2015-06-04T05:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-07-18T05:00:00Z""],""numHelpful"":4,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""finally found a shoe that fits my messed up feet"",""title"":""it fits"",""username"":""Marthann""},{""date"":""2014-12-05T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I think the reason the shoe felt a bit narrower was that there is more cushioning on the sides and bottom. It feels like a dream to wear."",""title"":""Soft as a cloud"",""username"":""laurie""},{""date"":""2015-04-09T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I've been wearing New Balance shoes built on the SL2 last for over 30 years for my flat splayed feet. This new model is light and comfortable. I bought them for my trip to London: they and I have held up well for hours of walking in museums and parks. Just wish NB would make hiking shoes on the SL-2 last. That might look a little less orthopedic and more adventuresome. Waterproof options would be nice too."",""title"":""Good walking shoe on the SL 2 last"",""username"":""PSB""},{""date"":""2015-01-19T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":7,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I wear the shoes for walking every day. (I walk wherever and whenever possible.) I am proud to own such a comfortable and stylish pair of shoes."",""title"":""pleased as punch"",""username"":""thebestmary""}]",4.4
New Balance Ww847  D Round Toe Leather  Walking Shoe,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes,Walking Shoes",Walking Shoes,136.99,"Black,White,White Synthetic,Mesh",White,Leather,"[{""date"":""2015-02-18T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I wear these shoes almost every day. They make my feet smile! I have a walking program, and these shoes make all the difference in comfort, allowing me to go farther without tiring. They are supportive, with plenty of cushion. It's like walking on puffy white clouds. Can't say enough good things about them."",""title"":""BUY A PAIR NOW!! You won't regret it!"",""username"":""Cricket""},{""date"":""2015-06-04T05:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-07-18T05:00:00Z""],""numHelpful"":4,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""finally found a shoe that fits my messed up feet"",""title"":""it fits"",""username"":""Marthann""},{""date"":""2014-12-05T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I think the reason the shoe felt a bit narrower was that there is more cushioning on the sides and bottom. It feels like a dream to wear."",""title"":""Soft as a cloud"",""username"":""laurie""},{""date"":""2015-04-09T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I've been wearing New Balance shoes built on the SL2 last for over 30 years for my flat splayed feet. This new model is light and comfortable. I bought them for my trip to London: they and I have held up well for hours of walking in museums and parks. Just wish NB would make hiking shoes on the SL-2 last. That might look a little less orthopedic and more adventuresome. Waterproof options would be nice too."",""title"":""Good walking shoe on the SL 2 last"",""username"":""PSB""},{""date"":""2015-01-19T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":7,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I wear the shoes for walking every day. (I walk wherever and whenever possible.) I am proud to own such a comfortable and stylish pair of shoes."",""title"":""pleased as punch"",""username"":""thebestmary""}]",4.4
New Balance Ww847  D Round Toe Leather  Walking Shoe,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes,Walking Shoes",Walking Shoes,125.0,"Black,White,White Synthetic,Mesh",White,Leather,"[{""date"":""2015-02-18T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I wear these shoes almost every day. They make my feet smile! I have a walking program, and these shoes make all the difference in comfort, allowing me to go farther without tiring. They are supportive, with plenty of cushion. It's like walking on puffy white clouds. Can't say enough good things about them."",""title"":""BUY A PAIR NOW!! You won't regret it!"",""username"":""Cricket""},{""date"":""2015-06-04T05:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-07-18T05:00:00Z""],""numHelpful"":4,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""finally found a shoe that fits my messed up feet"",""title"":""it fits"",""username"":""Marthann""},{""date"":""2014-12-05T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I think the reason the shoe felt a bit narrower was that there is more cushioning on the sides and bottom. It feels like a dream to wear."",""title"":""Soft as a cloud"",""username"":""laurie""},{""date"":""2015-04-09T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I've been wearing New Balance shoes built on the SL2 last for over 30 years for my flat splayed feet. This new model is light and comfortable. I bought them for my trip to London: they and I have held up well for hours of walking in museums and parks. Just wish NB would make hiking shoes on the SL-2 last. That might look a little less orthopedic and more adventuresome. Waterproof options would be nice too."",""title"":""Good walking shoe on the SL 2 last"",""username"":""PSB""},{""date"":""2015-01-19T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":7,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I wear the shoes for walking every day. (I walk wherever and whenever possible.) I am proud to own such a comfortable and stylish pair of shoes."",""title"":""pleased as punch"",""username"":""thebestmary""}]",4.4
New Balance Ww847  D Round Toe Leather  Walking Shoe,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes,Walking Shoes",Walking Shoes,124.95,"Black,White,White Synthetic,Mesh",White,Leather,"[{""date"":""2015-02-18T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I wear these shoes almost every day. They make my feet smile! I have a walking program, and these shoes make all the difference in comfort, allowing me to go farther without tiring. They are supportive, with plenty of cushion. It's like walking on puffy white clouds. Can't say enough good things about them."",""title"":""BUY A PAIR NOW!! You won't regret it!"",""username"":""Cricket""},{""date"":""2015-06-04T05:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-07-18T05:00:00Z""],""numHelpful"":4,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""finally found a shoe that fits my messed up feet"",""title"":""it fits"",""username"":""Marthann""},{""date"":""2014-12-05T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I think the reason the shoe felt a bit narrower was that there is more cushioning on the sides and bottom. It feels like a dream to wear."",""title"":""Soft as a cloud"",""username"":""laurie""},{""date"":""2015-04-09T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I've been wearing New Balance shoes built on the SL2 last for over 30 years for my flat splayed feet. This new model is light and comfortable. I bought them for my trip to London: they and I have held up well for hours of walking in museums and parks. Just wish NB would make hiking shoes on the SL-2 last. That might look a little less orthopedic and more adventuresome. Waterproof options would be nice too."",""title"":""Good walking shoe on the SL 2 last"",""username"":""PSB""},{""date"":""2015-01-19T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":7,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I wear the shoes for walking every day. (I walk wherever and whenever possible.) I am proud to own such a comfortable and stylish pair of shoes."",""title"":""pleased as punch"",""username"":""thebestmary""}]",4.4
New Balance Ww847  D Round Toe Leather  Walking Shoe,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes,Walking Shoes",Walking Shoes,119.95,"Black,White,White Synthetic,Mesh",White,Leather,"[{""date"":""2015-02-18T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I wear these shoes almost every day. They make my feet smile! I have a walking program, and these shoes make all the difference in comfort, allowing me to go farther without tiring. They are supportive, with plenty of cushion. It's like walking on puffy white clouds. Can't say enough good things about them."",""title"":""BUY A PAIR NOW!! You won't regret it!"",""username"":""Cricket""},{""date"":""2015-06-04T05:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-07-18T05:00:00Z""],""numHelpful"":4,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""finally found a shoe that fits my messed up feet"",""title"":""it fits"",""username"":""Marthann""},{""date"":""2014-12-05T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I think the reason the shoe felt a bit narrower was that there is more cushioning on the sides and bottom. It feels like a dream to wear."",""title"":""Soft as a cloud"",""username"":""laurie""},{""date"":""2015-04-09T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":6,""rating"":4.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1""],""text"":""I've been wearing New Balance shoes built on the SL2 last for over 30 years for my flat splayed feet. This new model is light and comfortable. I bought them for my trip to London: they and I have held up well for hours of walking in museums and parks. Just wish NB would make hiking shoes on the SL-2 last. That might look a little less orthopedic and more adventuresome. Waterproof options would be nice too."",""title"":""Good walking shoe on the SL 2 last"",""username"":""PSB""},{""date"":""2015-01-19T00:00:00Z"",""dateAdded"":""2015-08-14T18:08:47Z"",""dateSeen"":[""2015-08-12T00:00:00Z""],""numHelpful"":7,""rating"":5.0,""sourceURLs"":[""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225?cs=1_pd_1"",""http://www.shoes.com/womens-new-balance-ww847v2-white-frost-p2_id353225""],""text"":""I wear the shoes for walking every day. (I walk wherever and whenever possible.) I am proud to own such a comfortable and stylish pair of shoes."",""title"":""pleased as punch"",""username"":""thebestmary""}]",4.4
